date,hospital_name,department,admissions
2021-01-01,Hospital A,MED,70
2021-01-02,Hospital A,MED,60
2021-01-03,Hospital A,MED,68
2021-01-04,Hospital A,MED,83
2021-01-05,Hospital A,MED,79
2021-01-06,Hospital A,MED,81
2021-01-07,Hospital A,MED,89
2021-01-08,Hospital A,MED,73
2021-01-09,Hospital A,MED,59
2021-01-10,Hospital A,MED,68
2021-01-11,Hospital A,MED,69
2021-01-12,Hospital A,MED,78
2021-01-13,Hospital A,MED,86
2021-01-14,Hospital A,MED,63
2021-01-15,Hospital A,MED,57
2021-01-16,Hospital A,MED,59
2021-01-17,Hospital A,MED,58
2021-01-18,Hospital A,MED,76
2021-01-19,Hospital A,MED,75
2021-01-20,Hospital A,MED,73
2021-01-21,Hospital A,MED,91
2021-01-22,Hospital A,MED,68
2021-01-23,Hospital A,MED,64
2021-01-24,Hospital A,MED,56
2021-01-25,Hospital A,MED,70
2021-01-26,Hospital A,MED,84
2021-01-27,Hospital A,MED,76
2021-01-28,Hospital A,MED,83
2021-01-29,Hospital A,MED,66
2021-01-30,Hospital A,MED,62
2021-01-31,Hospital A,MED,62
2021-02-01,Hospital A,MED,89
2021-02-02,Hospital A,MED,84
2021-02-03,Hospital A,MED,77
2021-02-04,Hospital A,MED,87
2021-02-05,Hospital A,MED,62
2021-02-06,Hospital A,MED,66
2021-02-07,Hospital A,MED,54
2021-02-08,Hospital A,MED,66
2021-02-09,Hospital A,MED,87
2021-02-10,Hospital A,MED,94
2021-02-11,Hospital A,MED,83
2021-02-12,Hospital A,MED,71
2021-02-13,Hospital A,MED,63
2021-02-14,Hospital A,MED,57
2021-02-15,Hospital A,MED,71
2021-02-16,Hospital A,MED,82
2021-02-17,Hospital A,MED,97
2021-02-18,Hospital A,MED,85
2021-02-19,Hospital A,MED,59
2021-02-20,Hospital A,MED,68
2021-02-21,Hospital A,MED,65
2021-02-22,Hospital A,MED,72
2021-02-23,Hospital A,MED,92
2021-02-24,Hospital A,MED,98
2021-02-25,Hospital A,MED,90
2021-02-26,Hospital A,MED,66
2021-02-27,Hospital A,MED,64
2021-02-28,Hospital A,MED,71
2021-03-01,Hospital A,MED,85
2021-03-02,Hospital A,MED,83
2021-03-03,Hospital A,MED,88
2021-03-04,Hospital A,MED,74
2021-03-05,Hospital A,MED,64
2021-03-06,Hospital A,MED,72
2021-03-07,Hospital A,MED,78
2021-03-08,Hospital A,MED,78
2021-03-09,Hospital A,MED,96
2021-03-10,Hospital A,MED,93
2021-03-11,Hospital A,MED,78
2021-03-12,Hospital A,MED,76
2021-03-13,Hospital A,MED,77
2021-03-14,Hospital A,MED,69
2021-03-15,Hospital A,MED,91
2021-03-16,Hospital A,MED,65
2021-03-17,Hospital A,MED,97
2021-03-18,Hospital A,MED,84
2021-03-19,Hospital A,MED,71
2021-03-20,Hospital A,MED,68
2021-03-21,Hospital A,MED,55
2021-03-22,Hospital A,MED,77
2021-03-23,Hospital A,MED,91
2021-03-24,Hospital A,MED,104
2021-03-25,Hospital A,MED,79
2021-03-26,Hospital A,MED,68
2021-03-27,Hospital A,MED,64
2021-03-28,Hospital A,MED,76
2021-03-29,Hospital A,MED,81
2021-03-30,Hospital A,MED,83
2021-03-31,Hospital A,MED,95
2021-04-01,Hospital A,MED,85
2021-04-02,Hospital A,MED,81
2021-04-03,Hospital A,MED,62
2021-04-04,Hospital A,MED,67
2021-04-05,Hospital A,MED,76
2021-04-06,Hospital A,MED,75
2021-04-07,Hospital A,MED,93
2021-04-08,Hospital A,MED,86
2021-04-09,Hospital A,MED,74
2021-04-10,Hospital A,MED,65
2021-04-11,Hospital A,MED,59
2021-04-12,Hospital A,MED,75
2021-04-13,Hospital A,MED,85
2021-04-14,Hospital A,MED,83
2021-04-15,Hospital A,MED,82
2021-04-16,Hospital A,MED,76
2021-04-17,Hospital A,MED,80
2021-04-18,Hospital A,MED,70
2021-04-19,Hospital A,MED,80
2021-04-20,Hospital A,MED,87
2021-04-21,Hospital A,MED,72
2021-04-22,Hospital A,MED,83
2021-04-23,Hospital A,MED,74
2021-04-24,Hospital A,MED,83
2021-04-25,Hospital A,MED,68
2021-04-26,Hospital A,MED,80
2021-04-27,Hospital A,MED,87
2021-04-28,Hospital A,MED,79
2021-04-29,Hospital A,MED,93
2021-04-30,Hospital A,MED,78
2021-05-01,Hospital A,MED,72
2021-05-02,Hospital A,MED,62
2021-05-03,Hospital A,MED,89
2021-05-04,Hospital A,MED,75
2021-05-05,Hospital A,MED,94
2021-05-06,Hospital A,MED,101
2021-05-07,Hospital A,MED,65
2021-05-08,Hospital A,MED,62
